station_id;name;numBikesAvailable;is_installed;is_renting;numDocksAvailable;is_returning;capacity;lon;lat;xy;last_reported
6512;Porte de Ménilmontant;1;1;1;14;1;15;2.40932246879487;48.8691543609174;48.8691543609, 2.40932246879;1539777229
36003;Pont de Lodi - Dauphine;4;1;1;22;1;27;2.339947307565249;48.855296898603285;48.8552968986, 2.33994730757;1539777173
13372702;Saint-Fargeau - Mortier;2;1;1;30;1;32;2.408203454302088;48.872747269036246;48.872747269, 2.4082034543;1539777135
15462236;Galilée - Kléber;14;1;1;19;1;36;2.290781380114821;48.86741186571367;48.8674118657, 2.29078138011;1539777173
10968855;Colonel Monteil - Brune;1;1;1;18;1;19;2.30927479982717;48.8265029331101;48.8265029331, 2.30927479983;1539777087
15308782;Sommerard - Saint-Jacques;27;1;1;8;1;34;2.345015835298588;48.850310432924466;48.8503104329, 2.3450158353;1539777292
6296;Institut de France;5;1;1;12;1;17;2.335831353037739;48.85761567856468;48.8576156786, 2.33583135304;1539777256
36255;Toudouze - Clauzel;0;0;0;21;0;21;2.337190639271711;48.879505265624786;48.8795052656, 2.33719063927;1539776936
13105968;Le Brix et Mesmin-Jourdan;1;1;1;20;1;17;2.327861653302471;48.82234096593411;48.8223409659, 2.3278616533;1539777051
13497763;Ouest - Château;1;1;1;22;1;23;2.319392143923804;48.83617286014242;48.8361728601, 2.31939214392;1539777267
63297;Eglise d'Auteuil;9;1;1;12;1;0;2.26848387135299;48.84749841771691;48.8474984177, 2.26848387135;1539777283
37791;Richard Lenoir - Jean-Pierre Timbaud;3;1;1;33;1;36;2.369337074966926;48.86580427668637;48.8658042767, 2.36933707497;1539777166
26958435;Square des Saints-Simoniens;0;1;1;25;1;25;2.3967273;48.8701796;48.8701796, 2.3967273;1539777226
38327;Victor Hugo - La Pompe;0;0;0;41;0;39;2.281477522417188;48.86810888689743;48.8681088869, 2.28147752242;1539516494
15383032;Place du Canada;26;1;1;13;1;39;2.310193787964762;48.865346269362675;48.8653462694, 2.31019378796;1539777236
6245;Ventadour - Opéra;0;1;0;28;0;24;2.334388448251871;48.866810653323;48.8668106533, 2.33438844825;1539777121
15163771;George Sand-Jean De La Fontaine;2;1;1;28;1;31;2.268257387525699;48.84986918764119;48.8498691876, 2.26825738753;1539777137
30550;Mairie du 9e;11;1;1;13;1;24;2.340753448052758;48.87326713758289;48.8732671376, 2.34075344805;1539777284
38192;La Motte-Picquet Grenelle;4;1;1;30;1;32;2.299244076945987;48.848656315905245;48.8486563159, 2.29924407695;1539777179
15461933;Parc Monceau;2;1;1;16;1;17;2.30951238050775;48.881161983577115;48.8811619836, 2.30951238051;1539776724
27033125;Pierre Ginier Clichy;4;1;1;12;1;15;2.326228;48.8867667;48.8867667, 2.326228;1539777212
13242682;Alexander Fleming - Belvédère;1;1;1;30;1;31;2.403179367969562;48.881769793858254;48.8817697939, 2.40317936797;1539777177
